Nom complet,Adresse,Email,Téléphone,Nationalité,Métier,Années d’expérience,Formation,Institution,Compétences,Certificats,Langues parlées,Hobbies,Expériences,Références,Langue du CV,Format,Template
Hassan Ismail Deria Saïd,"Avenue Gabode, Djibouti",hassan.deriasaïd@example.com,25377831121,Djibouti,Journaliste,4,Diplôme professionnel,Institut de Formation Professionnelle,"Recherche d'informations, Communication, Rédaction, Éthique journalistique, Photographie, Montage vidéo, Analyse de données","PMP (Lycée d’État de Djibouti), CompTIA Security+ (École Nationale de Commerce)","Arabe (Débutant), Français (Courant), Somali (Intermédiaire)","Photographie, Cuisine, Musique","[""Journaliste chez Aéroport International de Djibouti (2023-2025): Photographie, Rédaction, Recherche d'informations, Analyse de données"", ""Journaliste Senior chez Hôpital Général Peltier (2022-2023): Recherche d'informations, Rédaction, Réseaux sociaux""]","['Alice Cohen, Manager, alice.cohen', 'Françoise Diaz du Maillot, Superviseur, françoise.diaz.du.maillot']",Français,pdf,classic
Anisa Saidou Walid Barkhad,"Avenue Gabode, Djibouti",anisa.walidbarkhad@example.com,25377964444,Djibouti,Développeur web,17,Doctorat en {job},Institut de Formation Professionnelle,"SEO, Frameworks (React, Angular), Responsive design, Backend (Node.js, Django), HTML/CSS, UX/UI","IELTS (Lycée d’État de Djibouti), CFA Level 1 (École Nationale de Commerce), AWS Certified Solutions Architect (Centre de Formation Technique de Balbala)",Arabe (Courant),"Photographie, Voyage","['Développeur web Senior chez Pasquier S.A.R.L. (2024-2025): UX/UI, Tests unitaires', 'Développeur web Senior chez Djibouti Telecom (2022-2024): Bases de données, JavaScript, HTML/CSS, Git, Tests unitaires', 'Développeur web chez Ferrand Rousseau S.A.R.L. (2021-2022): Responsive design, Git, Frameworks (React, Angular), HTML/CSS', 'Développeur web Senior chez Marques (2017-2021): Frameworks (React, Angular), HTML/CSS, UX/UI', 'Développeur web chez Électricité de Djibouti (2014-2017): Tests unitaires, Backend (Node.js, Django), HTML/CSS, SEO, Git', 'Développeur web Junior chez Électricité de Djibouti (2011-2014): Git, SEO, UX/UI']","['Benjamin Lombard, Collègue, benjamin.lombard']",Français,pdf,classic
Munira Nasteexo Abdallah Madar,"Boulevard de la République, Djibouti",munira.abdallahmadar@example.com,25377354346,Djibouti,Cuisinier,6,Doctorat en {job},Institut de Formation Professionnelle,"Gestion des ingrédients, Service client, Hygiène alimentaire, Gestion du temps, Cuisine, Créativité culinaire, Menu planning","IELTS (École Nationale de Commerce), PMP (École Nationale de Commerce)","Arabe (Intermédiaire), Français (Débutant), Somali (Courant), Afar (Débutant)","Football, Voyage, Lecture","['Cuisinier chez Berger Leclercq et Fils (2023-2025): Cuisine, Gestion des ingrédients, Hygiène alimentaire, Gestion du temps, Service client', 'Cuisinier Senior chez Lebrun S.A. (2019-2023): Gestion du temps, Hygiène alimentaire, Cuisine, Service client']","['Aimée Perrot, Manager, aimée.perrot', 'Adrienne Mercier-Chauveau, Manager, adrienne.mercier-chauveau']",Français,pdf,classic
Ismahan Fadumo Aweis Tahlil,"Cité Arhiba, Djibouti",ismahan.aweistahlil@example.com,25377129746,Djibouti,Secrétaire,8,Diplôme professionnel,École Nationale de Commerce,"Communication, Organisation, Classement, Accueil, Prise de notes, Gestion d'agenda, Rédaction de courriers, Informatique (Office)","Google Data Analytics (École Nationale de Commerce), PMP (Lycée d’État de Djibouti)","Arabe (Débutant), Français (Courant)","Voyage, Football, Photographie","[""Secrétaire Senior chez Barbe S.A.S. (2021-2025): Gestion d'agenda, Accueil"", ""Secrétaire Senior chez Diaz (2019-2021): Gestion d'agenda, Informatique (Office), Prise de notes"", ""Secrétaire Junior chez Ministère de l’Éducation (2017-2019): Rédaction de courriers, Gestion d'agenda, Informatique (Office), Organisation, Accueil""]","['Margot Louis, Superviseur, margot.louis', 'Geneviève Denis, Collègue, geneviève.denis']",Anglais,pdf,compact
Dini Ifra Abdallah Madar,"Boulevard de la République, Djibouti",dini.abdallahmadar@example.com,25377949745,Djibouti,Logisticien,12,Diplôme professionnel,École Nationale de Commerce,"Analyse des coûts, Coordination, Négociation avec fournisseurs, ERP, Planification logistique","CFA Level 1 (Université de Djibouti), First Aid Certification (Université de Djibouti), PMP (École Nationale de Commerce)","Arabe (Débutant), Somali (Débutant)","Lecture, Voyage, Football","['Logisticien Senior chez Hôpital Général Peltier (2022-2025): Gestion des stocks, Planification logistique, Négociation avec fournisseurs, Coordination, Analyse des coûts', 'Logisticien Senior chez Courtois Torres S.A.S. (2020-2022): Gestion des stocks, Planification logistique', 'Logisticien chez Djibouti Telecom (2018-2020): Gestion des stocks, Coordination, Analyse des coûts, Transport, Négociation avec fournisseurs', 'Logisticien chez Adam (2014-2018): Analyse des coûts, Transport']","['David Lenoir, Superviseur, david.lenoir']",Anglais,pdf,classic
Dini Muse Muse Saïd,"Cité Arhiba, Djibouti",dini.musesaïd@example.com,25377151172,Djibouti,Pêcheur,14,BTS en Pêcheur,Centre de Formation Technique de Balbala,"Météorologie, Entretien des filets, Gestion des captures, Navigation maritime, Connaissance des espèces, Sécurité en mer, Réparation de bateaux, Pêche artisanale",CAPES (Lycée d’État de Djibouti),"Arabe (Débutant), Français (Intermédiaire), Somali (Courant)","Musique, Photographie","['Pêcheur Senior chez Mallet (2022-2025): Pêche artisanale, Navigation maritime, Sécurité en mer', 'Pêcheur Senior chez Legros et Fils (2020-2022): Réparation de bateaux, Gestion des captures', 'Pêcheur Junior chez Banque de Djibouti (2015-2020): Connaissance des espèces, Entretien des filets, Navigation maritime, Réparation de bateaux', 'Pêcheur chez Vallée SARL (2014-2015): Météorologie, Connaissance des espèces, Pêche artisanale, Entretien des filets', 'Pêcheur Junior chez Banque de Djibouti (2012-2014): Pêche artisanale, Gestion des captures, Navigation maritime']","['Benoît-Augustin Legros, Superviseur, benoît-augustin.legros']",Français,pdf,compact
Marco Ben Omar,"0649 Eaton Drive
Aguirrefort, LA 88408",marco.benomar@example.com,25377931650,Italian,Agriculteur,15,Master en Agriculteur,Université de Djibouti,"Utilisation de machines agricoles, Connaissance des semences, Culture agricole, Gestion des sols, Comptabilité agricole, Protection des cultures, Récolte",Coursera Machine Learning (École Nationale de Commerce),Italien (Débutant),"Musique, Lecture","['Agriculteur chez Djibouti Telecom (2023-2025): Connaissance des semences, Gestion des sols, Culture agricole', 'Agriculteur Senior chez Électricité de Djibouti (2021-2023): Connaissance des semences, Protection des cultures, Culture agricole', 'Agriculteur Senior chez Lamy (2018-2021): Connaissance des semences, Protection des cultures, Comptabilité agricole, Irrigation, Récolte', 'Agriculteur Junior chez Becker (2013-2018): Récolte, Utilisation de machines agricoles, Comptabilité agricole']","['Alexis Henry, Superviseur, alexis.henry']",Français,pdf,classic
Ismahan Halima Dawoud Robleh,"Rue de Balbala, Djibouti",ismahan.dawoudrobleh@example.com,25377619135,Djibouti,Architecte,5,BTS en Architecte,Lycée d’État de Djibouti,"Rendu 3D, Budgétisation, Conception architecturale, Urbanisme, CAO (AutoCAD), Normes de construction","First Aid Certification (École Nationale de Commerce), AWS Certified Solutions Architect (Lycée d’État de Djibouti)","Arabe (Courant), Français (Intermédiaire), Somali (Courant)","Photographie, Cuisine, Musique","['Architecte Senior chez Aéroport International de Djibouti (2020-2025): Budgétisation, Urbanisme, CAO (AutoCAD), Communication client, Normes de construction']","['Nicolas Marchand, Collègue, nicolas.marchand']",Français,pdf,classic
Idriss Haniyo Djamal Barkat,"Quartier Ambouli, Djibouti",idriss.djamalbarkat@example.com,25377377821,Djibouti,Dentiste,7,Diplôme professionnel,Lycée d’État de Djibouti,"Diagnostic oral, Soins dentaires, Communication patient, Chirurgie dentaire","Cisco CCNA (Lycée d’État de Djibouti), PMP (Centre de Formation Technique de Balbala)","Arabe (Courant), Français (Intermédiaire), Somali (Débutant)","Football, Lecture","['Dentiste chez Ministère de l’Éducation (2020-2025): Diagnostic oral, Gestion de cabinet', 'Dentiste chez Hôpital Général Peltier (2018-2020): Radiologie dentaire, Prothèses']","['Anne Perrin de la Samson, Collègue, anne.perrin.de.la.samson', 'Adrienne Hoareau, Manager, adrienne.hoareau']",Français,pdf,modern
Robleh Abdi Saidou Hassan,"Cité Arhiba, Djibouti",robleh.saidouhassan@example.com,25377954732,Djibouti,Vétérinaire,5,Master en Vétérinaire,Université de Djibouti,"Chirurgie vétérinaire, Pharmacologie vétérinaire, Communication client, Bien-être animal, Soins animaux","Scrum Master (Lycée d’État de Djibouti), Microsoft Certified: Azure Fundamentals (École Nationale de Commerce), CompTIA Security+ (Centre de Formation Technique de Balbala)","Arabe (Intermédiaire), Français (Débutant)","Lecture, Photographie","['Vétérinaire Junior chez Hamel SARL (2024-2025): Soins animaux, Diagnostic, Gestion de clinique']","['Brian Franco, Superviseur, brian.franco']",Français,pdf,classic
Batula Farhiyo Ahmed Gedi,"Boulevard de la République, Djibouti",batula.ahmedgedi@example.com,25377709739,Djibouti,Banquier,13,Licence en Banquier,Lycée d’État de Djibouti,"Gestion de comptes, Analyse de crédit, Communication client, Vente de produits bancaires, Conformité réglementaire, Conseil financier","First Aid Certification (Lycée d’État de Djibouti), Coursera Machine Learning (Université de Djibouti)","Arabe (Débutant), Français (Débutant), Somali (Courant)","Cuisine, Musique, Voyage, Photographie","['Banquier Junior chez Hôpital Général Peltier (2020-2025): Vente de produits bancaires, Analyse de crédit, Gestion de comptes', 'Banquier Junior chez Léger (2017-2020): Conseil financier, Analyse de risques, Vente de produits bancaires, Analyse de crédit', 'Banquier Junior chez Djibouti Telecom (2012-2017): Conseil financier, Vente de produits bancaires']","['Christopher Rodriguez, Superviseur, christopher.rodriguez', 'Olivier Martinez de la Pascal, Manager, olivier.martinez.de.la.pascal']",Français,pdf,classic
Munira Fadumo Nouradin Tahlil,"Cité Arhiba, Djibouti",munira.nouradintahlil@example.com,25377199333,Djibouti,Marketeur,0,Diplôme professionnel,Institut de Formation Professionnelle,"Gestion de campagnes, Stratégie marketing, SEO/SEM, Réseaux sociaux, Créativité, Analyse de marché, Publicité, Communication","Cisco CCNA (Centre de Formation Technique de Balbala), IELTS (Institut de Formation Professionnelle), AWS Certified Solutions Architect (Université de Djibouti)","Arabe (Courant), Français (Intermédiaire)","Voyage, Cuisine",[],"['Gilbert Navarro, Superviseur, gilbert.navarro']",Français,pdf,classic
Andrei Lefèvre,"7202 Le Shoal Suite 302
East Michaeltown, OK 10285",andrei.lefèvre@example.com,25377522266,Russian,Plombier,14,Baccalauréat,Centre de Formation Technique de Balbala,"Lecture de plans, Service client, Maintenance, Normes de sécurité, Soudure, Réparation de fuites","CFA Level 1 (École Nationale de Commerce), CAPES (Institut de Formation Professionnelle), First Aid Certification (Centre de Formation Technique de Balbala)",Russe (Intermédiaire),"Photographie, Lecture, Cuisine, Voyage","['Plombier chez Électricité de Djibouti (2022-2025): Réparation de fuites, Soudure, Lecture de plans, Normes de sécurité', 'Plombier Junior chez Hôpital Général Peltier (2017-2022): Normes de sécurité, Lecture de plans, Installation sanitaire, Service client, Soudure', 'Plombier Junior chez Ministère de l’Éducation (2014-2017): Installation sanitaire, Lecture de plans']","['Émile du Delannoy, Collègue, émile.du.delannoy', 'Jacqueline Guibert, Superviseur, jacqueline.guibert']",Français,pdf,modern
Zamzama Abdourahman Warsame Madar,"Avenue Gabode, Djibouti",zamzama.warsamemadar@example.com,25377568649,Djibouti,Mécanicien,5,Licence en Mécanicien,Institut de Formation Professionnelle,"Réparation de véhicules, Utilisation d'outils, Entretien, Diagnostic mécanique, Service client, Connaissance des moteurs","CAPES (Lycée d’État de Djibouti), First Aid Certification (Université de Djibouti)","Arabe (Débutant), Français (Débutant), Afar (Débutant)","Cuisine, Lecture, Football","[""Mécanicien Senior chez Traore (2024-2025): Utilisation d'outils, Connaissance des moteurs""]","['Andrée Colas, Superviseur, andrée.colas']",Français,pdf,modern
Shukri Hersi Awaleh Saidou,"Rue de Balbala, Djibouti",shukri.awalehsaidou@example.com,25377813114,Djibouti,Coiffeur,11,Baccalauréat,Université de Djibouti,"Coloration, Hygiène, Gestion du salon, Coupe de cheveux, Coiffure",CAPES (École Nationale de Commerce),"Arabe (Débutant), Somali (Intermédiaire)","Cuisine, Football, Voyage","['Coiffeur Junior chez Grégoire (2021-2025): Coiffure, Hygiène', 'Coiffeur Senior chez Banque de Djibouti (2016-2021): Coiffure, Conseil client', 'Coiffeur Junior chez Électricité de Djibouti (2014-2016): Conseil client, Coiffure, Hygiène, Coloration']","['Gérard Maréchal, Superviseur, gérard.maréchal']",Français,pdf,classic
Shukri Sagal Robleh Barkhad,"Avenue Gabode, Djibouti",shukri.roblehbarkhad@example.com,25377476135,Djibouti,Tailleur,0,Licence en Tailleur,Institut de Formation Professionnelle,"Précision, Prise de mesures, Conception de vêtements, Gestion des tissus, Réparation","CFA Level 1 (Institut de Formation Professionnelle), CompTIA Security+ (Université de Djibouti), TOEFL (Lycée d’État de Djibouti)","Arabe (Courant), Français (Débutant), Afar (Débutant)","Photographie, Football, Lecture, Voyage",[],"['Bill Hayes, Superviseur, bill.hayes', 'Donald Green, Manager, donald.green']",Français,pdf,classic
Abdi Dawoud Ayub Farah,"Rue de Balbala, Djibouti",abdi.ayubfarah@example.com,25377736994,Djibouti,Boulanger,1,Diplôme professionnel,Université de Djibouti,"Pétrissage, Créativité, Hygiène alimentaire, Gestion du temps","First Aid Certification (Université de Djibouti), CAPES (École Nationale de Commerce)","Arabe (Débutant), Français (Courant), Somali (Débutant)","Football, Voyage","['Boulanger Junior chez Hôpital Général Peltier (2024-2025): Service client, Gestion du temps']","['Denis Navarro, Manager, denis.navarro']",Français,pdf,modern
Salma Mohamed Mahamoud Djamal,"Avenue Gabode, Djibouti",salma.mahamouddjamal@example.com,25377446534,Djibouti,Pâtissier,0,Baccalauréat,Centre de Formation Technique de Balbala,"Décoration, Précision, Service client, Créativité, Gestion des ingrédients, Pâtisserie, Hygiène alimentaire","TOEFL (École Nationale de Commerce), CAPES (École Nationale de Commerce), PMP (Université de Djibouti)","Arabe (Intermédiaire), Français (Intermédiaire)","Cuisine, Voyage",[],"['Claire Camus du Martineau, Manager, claire.camus.du.martineau']",Français,pdf,compact
Amal Farhan Khalif Warsame,"Quartier Ambouli, Djibouti",amal.khalifwarsame@example.com,25377799879,Djibouti,Serveur,13,Diplôme professionnel,Université de Djibouti,"Gestion du temps, Résolution de problèmes, Hygiène, Prise de commandes, Service client, Communication",PMP (Institut de Formation Professionnelle),"Arabe (Courant), Français (Courant)","Lecture, Musique, Photographie","['Serveur chez Djibouti Telecom (2021-2025): Hygiène, Gestion du temps', ""Serveur Junior chez Maréchal SA (2016-2021): Résolution de problèmes, Travail d'équipe, Gestion du temps, Service client, Communication"", 'Serveur chez Port de Djibouti (2012-2016): Prise de commandes, Gestion du temps, Résolution de problèmes']","['Marthe Le Ferrand, Manager, marthe.le.ferrand', 'Frank Deleon, Manager, frank.deleon']",Français,pdf,classic
David Desta,"8163 Joyce Forest
Robinsonmouth, PW 82995",david.desta@example.com,25377386375,English,Barman,9,Doctorat en {job},École Nationale de Commerce,"Mixologie, Créativité, Travail sous pression, Service client, Communication, Gestion des stocks","First Aid Certification (École Nationale de Commerce), IELTS (Lycée d’État de Djibouti), Scrum Master (Centre de Formation Technique de Balbala)",Anglais (Intermédiaire),"Musique, Voyage, Football, Lecture","['Barman Junior chez Banque de Djibouti (2023-2025): Hygiène, Mixologie, Créativité, Gestion des stocks', 'Barman Senior chez Djibouti Telecom (2019-2023): Travail sous pression, Créativité, Gestion des stocks, Hygiène']","['Julie Mitchell, Collègue, julie.mitchell', 'Louise Perret, Manager, louise.perret']",Français,pdf,modern
Abdirahman Mako Faysal Barre,"Rue de Balbala, Djibouti",abdirahman.faysalbarre@example.com,25377834789,Djibouti,Agent immobilier,8,Doctorat en {job},Lycée d’État de Djibouti,"Évaluation immobilière, Vente, Négociation, Communication",First Aid Certification (Université de Djibouti),"Arabe (Intermédiaire), Somali (Intermédiaire)","Football, Lecture, Photographie, Voyage","['Agent immobilier Senior chez Simon (2024-2025): Négociation, Connaissance du marché, Rédaction de contrats, Évaluation immobilière', 'Agent immobilier Junior chez Ministère de l’Éducation (2021-2024): Connaissance du marché, Conseil client, Négociation, Évaluation immobilière']","['Raymond-Théophile Cohen, Manager, raymond-théophile.cohen']",Français,pdf,compact
Getachew Teshome,"13299 Sanchez Rapid
Lake Joseph, WY 21619",getachew.teshome@example.com,25377581514,Ethiopian,Agent de sécurité,8,Licence en Agent de sécurité,Centre de Formation Technique de Balbala,"Gestion des conflits, Vigilance, Premiers secours, Connaissance des lois, Surveillance","Google Data Analytics (Lycée d’État de Djibouti), Microsoft Certified: Azure Fundamentals (École Nationale de Commerce)","Amharique (Intermédiaire), Anglais (Intermédiaire)","Lecture, Voyage, Musique","['Agent de sécurité chez Port de Djibouti (2022-2025): Premiers secours, Connaissance des lois, Communication', 'Agent de sécurité Senior chez Guichard (2019-2022): Gestion des conflits, Premiers secours, Surveillance, Vigilance']","['Jerome Moran, Superviseur, jerome.moran', 'Michel Gautier-Jean, Superviseur, michel.gautier-jean']",Français,pdf,modern
Giovanni Bernard,"PSC 3379, Box 8670
APO AE 40169",giovanni.bernard@example.com,25377536434,Italian,Policier,14,Master en Policier,Université de Djibouti,"Investigation, Premiers secours, Application de la loi, Gestion des conflits, Éthique, Sécurité publique, Communication","CFA Level 1 (École Nationale de Commerce), First Aid Certification (Université de Djibouti)",Italien (Intermédiaire),"Musique, Voyage, Photographie","['Policier chez Lacombe (2021-2025): Sécurité publique, Éthique, Application de la loi', 'Policier chez Banque de Djibouti (2019-2021): Application de la loi, Gestion des conflits, Premiers secours', 'Policier Junior chez Ministère de l’Éducation (2014-2019): Sécurité publique, Application de la loi, Communication, Premiers secours']","['Claude Boulanger, Collègue, claude.boulanger', 'Aimé Rivière-Grondin, Superviseur, aimé.rivière-grondin']",Français,pdf,compact
Hassanali Nimo Samatar Guedi,"Avenue Gabode, Djibouti",hassanali.samatarguedi@example.com,25377684665,Djibouti,Pompier,5,Master en Pompier,Centre de Formation Technique de Balbala,"Maintenance d'équipements, Gestion du stress, Premiers secours, Travail d'équipe",CAPES (Centre de Formation Technique de Balbala),"Arabe (Intermédiaire), Français (Intermédiaire)","Voyage, Musique","[""Pompier chez Électricité de Djibouti (2021-2025): Maintenance d'équipements, Gestion du stress, Sauvetage, Travail d'équipe, Premiers secours""]","['Maggie Guillaume, Superviseur, maggie.guillaume']",Français,pdf,compact
